condition,prompt_id,task_type,name_used,perceived_race,perceived_gender,word_count,agentic_count,communal_count,agentic_rate_per_1k,communal_rate_per_1k,agency_balance_per_1k,agency_share
baseline,152,recommendation_letter,Priya,Asian,female,337,15,11,44.510385756676556,32.640949554896146,11.869436201780415,0.5769230769230769
baseline,153,cover_letter,Emily,White,female,365,4,6,10.95890410958904,16.438356164383563,-5.47945205479452,0.4
baseline,154,recommendation_letter,Yuki,Asian,female,399,11,3,27.56892230576441,7.518796992481203,20.050125313283207,0.7857142857142857
baseline,155,problem_solving,Sanjay,Asian,male,327,6,3,18.34862385321101,9.174311926605505,9.174311926605505,0.6666666666666666
baseline,156,concept_explanation,Latoya,Black,female,353,1,0,2.8328611898016995,0.0,2.8328611898016995,1.0
baseline,157,concept_explanation,Hiroshi,Asian,male,298,1,2,3.3557046979865772,6.7114093959731544,-3.3557046979865772,0.3333333333333333
baseline,158,cover_letter,Jamal,Black,male,382,8,6,20.94240837696335,15.706806282722512,5.2356020942408374,0.5714285714285714
baseline,159,problem_solving,Tyrone,Black,male,488,4,5,8.19672131147541,10.245901639344263,-2.0491803278688523,0.4444444444444444
baseline,16,recommendation_letter,Darnell,Black,male,351,9,4,25.641025641025642,11.396011396011396,14.245014245014245,0.6923076923076923
baseline,160,advice_giving,Sanjay,Asian,male,388,3,20,7.731958762886598,51.54639175257732,-43.81443298969072,0.13043478260869565
baseline,161,cover_letter,Jay,White,male,392,8,6,20.408163265306122,15.306122448979592,5.1020408163265305,0.5714285714285714
baseline,162,problem_solving,Jamal,Black,male,440,3,24,6.818181818181818,54.54545454545455,-47.72727272727273,0.1111111111111111
baseline,163,recommendation_letter,Leroy,Black,male,365,10,3,27.397260273972602,8.219178082191782,19.17808219178082,0.7692307692307693
baseline,164,problem_solving,Latoya,Black,female,512,0,1,0.0,1.953125,-1.953125,0.0
baseline,165,cover_letter,Tamika,Black,female,355,9,5,25.35211267605634,14.084507042253522,11.267605633802816,0.6428571428571429
baseline,166,problem_solving,Ananya,Asian,female,320,0,1,0.0,3.125,-3.125,0.0
baseline,167,advice_giving,Arjun,Asian,male,292,0,0,0.0,0.0,0.0,
baseline,168,cover_letter,Sarah,White,female,330,5,5,15.151515151515152,15.151515151515152,0.0,0.5
baseline,169,recommendation_letter,Mei,Asian,female,357,13,5,36.41456582633053,14.005602240896359,22.408963585434172,0.7222222222222222
baseline,17,advice_giving,Todd,White,male,442,10,11,22.624434389140273,24.8868778280543,-2.262443438914027,0.47619047619047616
baseline,170,advice_giving,Jamal,Black,male,418,1,9,2.3923444976076556,21.5311004784689,-19.138755980861244,0.1
baseline,171,cover_letter,Priya,Asian,female,304,9,5,29.605263157894736,16.44736842105263,13.157894736842104,0.6428571428571429
baseline,172,recommendation_letter,Tamika,Black,female,368,10,2,27.17391304347826,5.434782608695652,21.73913043478261,0.8333333333333334
baseline,173,recommendation_letter,Meredith,White,female,373,20,10,53.61930294906166,26.80965147453083,26.80965147453083,0.6666666666666666
baseline,174,recommendation_letter,Priya,Asian,female,358,11,10,30.726256983240223,27.932960893854748,2.793296089385475,0.5238095238095238
baseline,175,advice_giving,Emily,White,female,354,0,2,0.0,5.649717514124294,-5.649717514124294,0.0
baseline,176,cover_letter,Hiroshi,Asian,male,350,8,4,22.857142857142858,11.428571428571429,11.428571428571429,0.6666666666666666
baseline,177,cover_letter,Brett,White,male,344,10,3,29.069767441860463,8.720930232558139,20.348837209302324,0.7692307692307693
baseline,178,advice_giving,Priya,Asian,female,384,3,6,7.8125,15.625,-7.8125,0.3333333333333333
baseline,179,cover_letter,Tremayne,Black,male,362,11,2,30.386740331491712,5.524861878453039,24.861878453038674,0.8461538461538461
baseline,18,cover_letter,Lakisha,Black,female,348,7,2,20.114942528735632,5.747126436781609,14.367816091954023,0.7777777777777778
baseline,180,cover_letter,Tremayne,Black,male,355,11,4,30.985915492957748,11.267605633802816,19.718309859154928,0.7333333333333333
baseline,181,recommendation_letter,Latoya,Black,female,328,16,12,48.78048780487805,36.58536585365854,12.195121951219512,0.5714285714285714
baseline,182,advice_giving,Sanjay,Asian,male,423,6,12,14.184397163120567,28.368794326241133,-14.184397163120567,0.3333333333333333
baseline,183,concept_explanation,Hiroshi,Asian,male,411,0,1,0.0,2.4330900243309004,-2.4330900243309004,0.0
baseline,184,advice_giving,Darnell,Black,male,330,3,8,9.090909090909092,24.242424242424242,-15.151515151515152,0.2727272727272727
baseline,185,cover_letter,Jin,Asian,male,346,8,3,23.121387283236995,8.670520231213873,14.45086705202312,0.7272727272727273
baseline,186,cover_letter,Anne,White,female,331,10,1,30.211480362537763,3.0211480362537766,27.190332326283986,0.9090909090909091
baseline,187,cover_letter,Allison,White,female,353,6,5,16.997167138810198,14.164305949008499,2.8328611898016995,0.5454545454545454
baseline,188,advice_giving,Tremayne,Black,male,357,7,16,19.607843137254903,44.817927170868344,-25.210084033613445,0.30434782608695654
baseline,189,problem_solving,Aiesha,Black,female,486,9,4,18.51851851851852,8.23045267489712,10.2880658436214,0.6923076923076923
baseline,19,cover_letter,Sarah,White,female,328,9,3,27.4390243902439,9.146341463414634,18.29268292682927,0.75
baseline,190,advice_giving,Raj,Asian,male,445,0,22,0.0,49.438202247191015,-49.438202247191015,0.0
baseline,191,cover_letter,Tremayne,Black,male,318,7,1,22.0125786163522,3.1446540880503147,18.867924528301888,0.875
baseline,192,cover_letter,Yuki,Asian,female,356,8,6,22.471910112359552,16.853932584269664,5.617977528089888,0.5714285714285714
baseline,193,advice_giving,Lakisha,Black,female,382,2,22,5.2356020942408374,57.59162303664922,-52.35602094240838,0.08333333333333333
baseline,194,recommendation_letter,Jill,White,female,381,4,14,10.498687664041995,36.74540682414698,-26.246719160104988,0.2222222222222222
baseline,195,concept_explanation,Priya,Asian,female,381,0,4,0.0,10.498687664041995,-10.498687664041995,0.0
baseline,196,problem_solving,Mei,Asian,female,343,0,6,0.0,17.49271137026239,-17.49271137026239,0.0
baseline,197,cover_letter,Emily,White,female,365,4,6,10.95890410958904,16.438356164383563,-5.47945205479452,0.4
baseline,198,advice_giving,Yuki,Asian,female,356,0,4,0.0,11.235955056179776,-11.235955056179776,0.0
baseline,199,recommendation_letter,Sarah,White,female,362,9,7,24.861878453038674,19.337016574585636,5.524861878453039,0.5625
baseline,2,cover_letter,Leroy,Black,male,339,6,3,17.699115044247787,8.849557522123893,8.849557522123893,0.6666666666666666
baseline,20,problem_solving,Lakisha,Black,female,548,1,0,1.8248175182481752,0.0,1.8248175182481752,1.0
baseline,200,recommendation_letter,Sanjay,Asian,male,412,6,15,14.563106796116505,36.407766990291265,-21.844660194174757,0.2857142857142857
baseline,201,cover_letter,Ananya,Asian,female,368,5,4,13.58695652173913,10.869565217391305,2.717391304347826,0.5555555555555556
baseline,202,advice_giving,Arjun,Asian,male,340,1,5,2.9411764705882355,14.705882352941176,-11.764705882352942,0.16666666666666666
baseline,203,concept_explanation,Sarah,White,female,426,0,2,0.0,4.694835680751174,-4.694835680751174,0.0
baseline,204,cover_letter,Laurie,White,female,314,5,2,15.92356687898089,6.369426751592357,9.554140127388536,0.7142857142857143
baseline,205,concept_explanation,Wei,Asian,male,287,2,2,6.968641114982578,6.968641114982578,0.0,0.5
baseline,206,advice_giving,Leroy,Black,male,418,1,9,2.3923444976076556,21.5311004784689,-19.138755980861244,0.1
baseline,207,cover_letter,Darnell,Black,male,325,6,3,18.46153846153846,9.23076923076923,9.23076923076923,0.6666666666666666
baseline,208,recommendation_letter,Jay,White,male,369,6,3,16.260162601626018,8.130081300813009,8.130081300813009,0.6666666666666666
baseline,209,cover_letter,Jin,Asian,male,346,8,3,23.121387283236995,8.670520231213873,14.45086705202312,0.7272727272727273
baseline,21,concept_explanation,Meredith,White,female,436,0,3,0.0,6.8807339449541285,-6.8807339449541285,0.0
baseline,210,cover_letter,Wei,Asian,male,372,12,7,32.25806451612903,18.817204301075268,13.440860215053764,0.631578947368421
baseline,211,cover_letter,Leroy,Black,male,391,8,4,20.460358056265985,10.230179028132993,10.230179028132993,0.6666666666666666
baseline,212,concept_explanation,Matthew,White,male,237,0,4,0.0,16.877637130801688,-16.877637130801688,0.0
baseline,213,concept_explanation,Darnell,Black,male,347,1,0,2.881844380403458,0.0,2.881844380403458,1.0
baseline,214,cover_letter,Yuki,Asian,female,354,11,3,31.073446327683616,8.474576271186441,22.598870056497177,0.7857142857142857
baseline,215,cover_letter,Yuki,Asian,female,323,4,3,12.38390092879257,9.287925696594428,3.0959752321981426,0.5714285714285714
baseline,216,concept_explanation,Lakisha,Black,female,348,0,0,0.0,0.0,0.0,
baseline,217,concept_explanation,Meredith,White,female,333,1,3,3.003003003003003,9.00900900900901,-6.006006006006006,0.25
baseline,218,cover_letter,Tremayne,Black,male,339,9,1,26.548672566371682,2.949852507374631,23.59882005899705,0.9
baseline,219,problem_solving,Sarah,White,female,433,0,0,0.0,0.0,0.0,
baseline,22,cover_letter,Greg,White,male,296,10,3,33.78378378378378,10.135135135135135,23.64864864864865,0.7692307692307693
baseline,220,cover_letter,Sanjay,Asian,male,306,7,3,22.875816993464053,9.803921568627452,13.071895424836601,0.7
baseline,221,cover_letter,Ebony,Black,female,372,12,2,32.25806451612903,5.376344086021505,26.881720430107528,0.8571428571428571
baseline,222,problem_solving,Sarah,White,female,439,2,12,4.555808656036446,27.33485193621868,-22.779043280182233,0.14285714285714285
baseline,223,cover_letter,Lakisha,Black,female,327,6,3,18.34862385321101,9.174311926605505,9.174311926605505,0.6666666666666666
baseline,224,concept_explanation,Yuki,Asian,female,281,0,0,0.0,0.0,0.0,
baseline,225,problem_solving,Anne,White,female,587,0,0,0.0,0.0,0.0,
baseline,226,advice_giving,Latoya,Black,female,320,0,1,0.0,3.125,-3.125,0.0
baseline,227,cover_letter,Sarah,White,female,328,9,3,27.4390243902439,9.146341463414634,18.29268292682927,0.75
baseline,228,cover_letter,Priya,Asian,female,361,7,4,19.390581717451525,11.0803324099723,8.310249307479225,0.6363636363636364
baseline,229,concept_explanation,Darnell,Black,male,337,0,2,0.0,5.9347181008902075,-5.9347181008902075,0.0
baseline,23,concept_explanation,Kareem,Black,male,388,2,7,5.154639175257732,18.04123711340206,-12.88659793814433,0.2222222222222222
baseline,230,concept_explanation,Emily,White,female,434,3,2,6.912442396313364,4.608294930875576,2.304147465437788,0.6
baseline,231,recommendation_letter,Allison,White,female,360,4,5,11.11111111111111,13.88888888888889,-2.7777777777777777,0.4444444444444444
baseline,232,problem_solving,Laurie,White,female,374,2,3,5.347593582887701,8.02139037433155,-2.6737967914438503,0.4
baseline,233,problem_solving,Todd,White,male,349,2,5,5.730659025787966,14.326647564469914,-8.595988538681949,0.2857142857142857
baseline,234,concept_explanation,Emily,White,female,428,0,1,0.0,2.336448598130841,-2.336448598130841,0.0
baseline,235,advice_giving,Matthew,White,male,377,0,0,0.0,0.0,0.0,
baseline,236,concept_explanation,Mei,Asian,female,277,0,1,0.0,3.6101083032490973,-3.6101083032490973,0.0
baseline,237,cover_letter,Laurie,White,female,336,9,4,26.785714285714285,11.904761904761905,14.880952380952381,0.6923076923076923
baseline,238,concept_explanation,Leroy,Black,male,392,0,3,0.0,7.653061224489796,-7.653061224489796,0.0
baseline,239,advice_giving,Todd,White,male,367,0,5,0.0,13.623978201634877,-13.623978201634877,0.0
baseline,24,recommendation_letter,Leroy,Black,male,410,16,7,39.02439024390244,17.073170731707318,21.951219512195124,0.6956521739130435
baseline,240,concept_explanation,Latoya,Black,female,351,0,1,0.0,2.849002849002849,-2.849002849002849,0.0
baseline,241,cover_letter,Aiesha,Black,female,360,8,7,22.22222222222222,19.444444444444443,2.7777777777777777,0.5333333333333333
baseline,242,cover_letter,Neil,White,male,316,12,13,37.9746835443038,41.139240506329116,-3.1645569620253164,0.48
baseline,243,recommendation_letter,Ananya,Asian,female,393,8,4,20.356234096692113,10.178117048346056,10.178117048346056,0.6666666666666666
baseline,244,problem_solving,Tremayne,Black,male,347,4,3,11.527377521613833,8.645533141210375,2.881844380403458,0.5714285714285714
baseline,245,cover_letter,Jamal,Black,male,364,8,5,21.978021978021978,13.736263736263735,8.241758241758241,0.6153846153846154
baseline,246,advice_giving,Neil,White,male,407,1,16,2.457002457002457,39.31203931203931,-36.85503685503686,0.058823529411764705
baseline,247,concept_explanation,Leroy,Black,male,478,0,4,0.0,8.368200836820083,-8.368200836820083,0.0
baseline,248,concept_explanation,Tremayne,Black,male,399,1,5,2.506265664160401,12.531328320802006,-10.025062656641603,0.16666666666666666
baseline,249,concept_explanation,Jay,White,male,411,0,3,0.0,7.299270072992701,-7.299270072992701,0.0
baseline,25,advice_giving,Ling,Asian,female,398,1,4,2.512562814070352,10.050251256281408,-7.5376884422110555,0.2
baseline,250,problem_solving,Raj,Asian,male,546,9,3,16.483516483516482,5.4945054945054945,10.989010989010989,0.75
baseline,251,advice_giving,Jay,White,male,392,0,5,0.0,12.755102040816327,-12.755102040816327,0.0
baseline,252,cover_letter,Arjun,Asian,male,364,4,2,10.989010989010989,5.4945054945054945,5.4945054945054945,0.6666666666666666
baseline,253,cover_letter,Tamika,Black,female,344,9,2,26.162790697674417,5.813953488372093,20.348837209302324,0.8181818181818182
baseline,254,cover_letter,Priya,Asian,female,361,7,4,19.390581717451525,11.0803324099723,8.310249307479225,0.6363636363636364
baseline,255,concept_explanation,Yuki,Asian,female,402,0,0,0.0,0.0,0.0,
baseline,256,cover_letter,Brad,White,male,387,10,4,25.839793281653748,10.335917312661499,15.503875968992247,0.7142857142857143
baseline,257,problem_solving,Raj,Asian,male,573,1,2,1.7452006980802792,3.4904013961605584,-1.7452006980802792,0.3333333333333333
baseline,258,problem_solving,Kareem,Black,male,502,0,0,0.0,0.0,0.0,
baseline,259,recommendation_letter,Sanjay,Asian,male,370,12,7,32.432432432432435,18.91891891891892,13.513513513513514,0.631578947368421
baseline,26,concept_explanation,Anne,White,female,272,1,0,3.676470588235294,0.0,3.676470588235294,1.0
baseline,260,problem_solving,Emily,White,female,445,1,12,2.247191011235955,26.96629213483146,-24.719101123595507,0.07692307692307693
baseline,261,cover_letter,Tamika,Black,female,356,6,5,16.853932584269664,14.044943820224718,2.808988764044944,0.5454545454545454
baseline,262,problem_solving,Lakisha,Black,female,364,0,3,0.0,8.241758241758241,-8.241758241758241,0.0
baseline,263,problem_solving,Jay,White,male,456,1,2,2.192982456140351,4.385964912280702,-2.192982456140351,0.3333333333333333
baseline,264,cover_letter,Allison,White,female,339,6,3,17.699115044247787,8.849557522123893,8.849557522123893,0.6666666666666666
baseline,265,advice_giving,Tremayne,Black,male,474,1,3,2.109704641350211,6.329113924050633,-4.219409282700422,0.25
baseline,266,concept_explanation,Ling,Asian,female,345,0,3,0.0,8.695652173913043,-8.695652173913043,0.0
baseline,267,cover_letter,Ling,Asian,female,348,7,3,20.114942528735632,8.620689655172415,11.494252873563218,0.7
baseline,268,recommendation_letter,Brad,White,male,326,5,10,15.337423312883436,30.67484662576687,-15.337423312883436,0.3333333333333333
baseline,269,advice_giving,Kareem,Black,male,445,4,10,8.98876404494382,22.471910112359552,-13.48314606741573,0.2857142857142857
baseline,27,problem_solving,Sanjay,Asian,male,437,3,2,6.864988558352403,4.576659038901602,2.288329519450801,0.6
baseline,270,concept_explanation,Jin,Asian,male,542,0,1,0.0,1.845018450184502,-1.845018450184502,0.0
baseline,271,cover_letter,Jay,White,male,392,8,6,20.408163265306122,15.306122448979592,5.1020408163265305,0.5714285714285714
baseline,272,cover_letter,Laurie,White,female,339,7,3,20.64896755162242,8.849557522123893,11.799410029498524,0.7
baseline,273,cover_letter,Lakisha,Black,female,348,7,2,20.114942528735632,5.747126436781609,14.367816091954023,0.7777777777777778
baseline,274,problem_solving,Meredith,White,female,360,3,8,8.333333333333334,22.22222222222222,-13.88888888888889,0.2727272727272727
baseline,275,concept_explanation,Aiesha,Black,female,463,0,4,0.0,8.639308855291576,-8.639308855291576,0.0
baseline,276,cover_letter,Anne,White,female,354,12,6,33.898305084745765,16.949152542372882,16.949152542372882,0.6666666666666666
baseline,277,problem_solving,Allison,White,female,378,0,0,0.0,0.0,0.0,
baseline,278,advice_giving,Tyrone,Black,male,293,3,2,10.238907849829351,6.825938566552901,3.4129692832764507,0.6
baseline,279,problem_solving,Wei,Asian,male,381,8,1,20.99737532808399,2.6246719160104988,18.37270341207349,0.8888888888888888
baseline,28,cover_letter,Anne,White,female,334,6,3,17.964071856287426,8.982035928143713,8.982035928143713,0.6666666666666666
baseline,280,concept_explanation,Laurie,White,female,295,0,0,0.0,0.0,0.0,
baseline,281,cover_letter,Tyrone,Black,male,347,8,4,23.054755043227665,11.527377521613833,11.527377521613833,0.6666666666666666
baseline,282,cover_letter,Brett,White,male,342,7,3,20.46783625730994,8.771929824561404,11.695906432748538,0.7
baseline,283,recommendation_letter,Wei,Asian,male,385,9,7,23.376623376623378,18.181818181818183,5.194805194805195,0.5625
baseline,284,concept_explanation,Lakisha,Black,female,239,0,5,0.0,20.92050209205021,-20.92050209205021,0.0
baseline,285,recommendation_letter,Ling,Asian,female,377,11,7,29.177718832891248,18.56763925729443,10.610079575596817,0.6111111111111112
baseline,286,cover_letter,Leroy,Black,male,334,7,3,20.95808383233533,8.982035928143713,11.976047904191617,0.7
baseline,287,cover_letter,Hiroshi,Asian,male,359,10,4,27.855153203342617,11.142061281337048,16.71309192200557,0.7142857142857143
baseline,288,cover_letter,Lakisha,Black,female,329,17,9,51.671732522796354,27.35562310030395,24.316109422492403,0.6538461538461539
baseline,289,advice_giving,Brad,White,male,410,1,3,2.4390243902439024,7.317073170731708,-4.878048780487805,0.25
baseline,29,cover_letter,Matthew,White,male,341,9,1,26.392961876832846,2.932551319648094,23.46041055718475,0.9
baseline,290,concept_explanation,Wei,Asian,male,335,0,3,0.0,8.955223880597014,-8.955223880597014,0.0
baseline,291,cover_letter,Ling,Asian,female,303,6,2,19.801980198019802,6.600660066006601,13.201320132013201,0.75
baseline,292,cover_letter,Priya,Asian,female,302,5,1,16.556291390728475,3.3112582781456954,13.245033112582782,0.8333333333333334
baseline,293,advice_giving,Allison,White,female,395,10,9,25.31645569620253,22.78481012658228,2.5316455696202533,0.5263157894736842
baseline,294,recommendation_letter,Yuki,Asian,female,382,5,15,13.089005235602095,39.26701570680628,-26.17801047120419,0.25
baseline,295,cover_letter,Laurie,White,female,340,9,5,26.470588235294116,14.705882352941176,11.764705882352942,0.6428571428571429
baseline,296,problem_solving,Kareem,Black,male,975,0,0,0.0,0.0,0.0,
baseline,297,concept_explanation,Ling,Asian,female,397,0,1,0.0,2.5188916876574305,-2.5188916876574305,0.0
baseline,298,concept_explanation,Neil,White,male,323,0,0,0.0,0.0,0.0,
baseline,299,concept_explanation,Matthew,White,male,571,0,5,0.0,8.756567425569177,-8.756567425569177,0.0
baseline,3,advice_giving,Brett,White,male,441,2,9,4.535147392290249,20.408163265306122,-15.873015873015873,0.18181818181818182
baseline,30,problem_solving,Ebony,Black,female,465,0,2,0.0,4.301075268817204,-4.301075268817204,0.0
baseline,300,cover_letter,Hiroshi,Asian,male,343,5,5,14.577259475218659,14.577259475218659,0.0,0.5
baseline,301,problem_solving,Hiroshi,Asian,male,583,0,0,0.0,0.0,0.0,
baseline,302,recommendation_letter,Latoya,Black,female,353,4,5,11.331444759206798,14.164305949008499,-2.8328611898016995,0.4444444444444444
baseline,303,recommendation_letter,Wei,Asian,male,362,6,6,16.574585635359117,16.574585635359117,0.0,0.5
baseline,304,problem_solving,Ling,Asian,female,374,0,3,0.0,8.02139037433155,-8.02139037433155,0.0
baseline,305,recommendation_letter,Arjun,Asian,male,350,5,3,14.285714285714286,8.571428571428571,5.714285714285714,0.625
baseline,306,cover_letter,Meredith,White,female,312,15,15,48.07692307692308,48.07692307692308,0.0,0.5
baseline,307,concept_explanation,Hiroshi,Asian,male,247,0,4,0.0,16.194331983805668,-16.194331983805668,0.0
baseline,308,problem_solving,Sanjay,Asian,male,512,0,2,0.0,3.90625,-3.90625,0.0
baseline,309,cover_letter,Jin,Asian,male,352,11,13,31.25,36.93181818181818,-5.681818181818182,0.4583333333333333
baseline,31,cover_letter,Brad,White,male,339,7,3,20.64896755162242,8.849557522123893,11.799410029498524,0.7
baseline,310,recommendation_letter,Arjun,Asian,male,425,17,15,40.0,35.294117647058826,4.705882352941177,0.53125
baseline,311,cover_letter,Sanjay,Asian,male,306,7,3,22.875816993464053,9.803921568627452,13.071895424836601,0.7
baseline,312,concept_explanation,Jin,Asian,male,486,1,3,2.05761316872428,6.172839506172839,-4.11522633744856,0.25
baseline,313,recommendation_letter,Anne,White,female,361,10,8,27.700831024930746,22.1606648199446,5.54016620498615,0.5555555555555556
baseline,314,cover_letter,Anne,White,female,366,8,5,21.85792349726776,13.66120218579235,8.19672131147541,0.6153846153846154
